depth	ratio(N/Ti)
1.85e-07	0.956888
1.852e-07	0.956887
1.854e-07	0.956887
1.856e-07	0.956886
1.858e-07	0.956885
1.86e-07	0.956885
1.862e-07	0.956884
1.864e-07	0.956884
1.866e-07	0.956883
1.868e-07	0.956882
1.87e-07	0.956882
1.872e-07	0.956881
1.874e-07	0.956881
1.876e-07	0.95688
1.878e-07	0.956879
1.88e-07	0.956879
1.882e-07	0.956878
1.884e-07	0.956878
1.886e-07	0.956877
1.888e-07	0.956876
1.89e-07	0.956876
1.892e-07	0.956875
1.894e-07	0.956874
1.896e-07	0.956874
1.898e-07	0.956873
1.9e-07	0.956873
1.902e-07	0.956872
1.904e-07	0.956871
1.906e-07	0.956871
1.908e-07	0.95687
1.91e-07	0.95687
1.912e-07	0.956869
1.914e-07	0.956868
1.916e-07	0.956868
1.918e-07	0.956867
1.92e-07	0.956866
1.922e-07	0.956866
1.924e-07	0.956865
1.926e-07	0.956865
1.928e-07	0.956864
1.93e-07	0.956863
1.932e-07	0.956863
1.934e-07	0.956862
1.936e-07	0.956861
1.938e-07	0.956861
1.94e-07	0.95686
1.942e-07	0.95686
1.944e-07	0.956859
1.946e-07	0.956858
1.948e-07	0.956858
1.95e-07	0.956857
1.952e-07	0.956856
1.954e-07	0.956856
1.956e-07	0.956855
1.958e-07	0.956855
1.96e-07	0.956854
1.962e-07	0.956853
1.964e-07	0.956853
1.966e-07	0.956852
1.968e-07	0.956851
1.97e-07	0.956851
1.972e-07	0.95685
1.974e-07	0.956849
1.976e-07	0.956849
1.978e-07	0.956848
1.98e-07	0.956848
1.982e-07	0.956847
1.984e-07	0.956846
1.986e-07	0.956846
1.988e-07	0.956845
1.99e-07	0.956844
1.992e-07	0.956844
1.994e-07	0.956843
1.996e-07	0.956842
1.998e-07	0.956842
2e-07	0.956841
2.002e-07	0.95684
2.004e-07	0.95684
2.006e-07	0.956839
2.008e-07	0.956838
2.01e-07	0.956838
2.012e-07	0.956837
2.014e-07	0.956837
2.016e-07	0.956836
2.018e-07	0.956835
2.02e-07	0.956835
2.022e-07	0.956834
2.024e-07	0.956833
2.026e-07	0.956833
2.028e-07	0.956832
2.03e-07	0.956831
2.032e-07	0.956831
2.034e-07	0.95683
2.036e-07	0.956829
2.038e-07	0.956829
2.04e-07	0.956828
2.042e-07	0.956827
2.044e-07	0.956827
2.046e-07	0.956826
2.048e-07	0.956825
2.05e-07	0.956825
2.052e-07	0.956824
2.054e-07	0.956823
2.056e-07	0.956823
2.058e-07	0.956822
2.06e-07	0.956821
2.062e-07	0.956821
2.064e-07	0.95682
2.066e-07	0.956819
2.068e-07	0.956819
